AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
1196263,DRP2,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.81,
53208,ANAPC15;LRTOMT;TOMT,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BS1;BP4,"Richards et al., Genet Med, 2015",,2.08,
53208,ANAPC15;LRTOMT;TOMT,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1,"Richards et al., Genet Med, 2015",,2.17,
1153278,NAXE,kimi-k2.6,Benign,Benign,0.99,BA1;BS1,"ACMG/AMP Sequence Variant Interpretation Guidelines, 2015;Richards S, et al., Genet Med, 2015, Standards and guidelines for the interpretation of sequence variants",,5.03,
1196263,DRP2,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015;Exome Aggregation Consortium, Nature, 2016;1000 Genomes Project Consortium, Nature, 2015",,8.6,
1154108,DRC1,deepseek-chat,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.16,
53208,ANAPC15;LRTOMT;TOMT,kimi-k2.6,Benign,Likely benign,0.75,BS1;BA1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24",,6.2,
1154108,DRC1,deepseek-coder,Benign,Uncertain significance,0.9,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.56,
1224759,PTPRO,deepseek-chat,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.08,
1154108,DRC1,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015",,5.69,
1224759,PTPRO,deepseek-coder,Benign,Benign,0.95,BA1;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,1.95,
102013,GNPTAB,deepseek-chat,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.09,
102013,GNPTAB,deepseek-coder,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.07,
1224759,PTPRO,kimi-k2.6,Benign,Benign,0.95,BA1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology., Genet Med, 2015",,6.77,
350145,CYP24A1,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,3.62,
102013,GNPTAB,kimi-k2.6,Benign,Benign,0.95,BA1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,4.99,
350145,CYP24A1,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1;BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.89,
350145,CYP24A1,kimi-k2.6,Benign,Benign,0.95,BA1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology., Genet Med, 2015",,5.43,
51200,SGCB,deepseek-coder,Pathogenic,Uncertain significance,0.6,PM2;PP3,"Richards et al., Genet Med, 2015",,2.39,
51200,SGCB,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;BS1,"Richards et al., Genet Med, 2015",,2.44,
249748,PSEN2,deepseek-chat,Benign,Benign,0.99,BA1;BP4;BP7,"Richards S, et al. Genet Med, 2015",,2.37,
51200,SGCB,kimi-k2.6,Pathogenic,Pathogenic,0.75,PM2;PP3;PP4,"Richards S, et al., Genet Med, 2015; Töpf T, et al., Eur J Hum Genet, 2010",,4.75,
249748,PSEN2,deepseek-coder,Benign,Benign,1.0,BA1,"Richards S, et al. Genet Med. 2015;17(5):405-424",,1.89,
1580096,IFT88,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BS1,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.35,
1580096,IFT88,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.83,
742994,TUBGCP6,deepseek-chat,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.6,
742994,TUBGCP6,deepseek-coder,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.47,
54277,TJP2,deepseek-chat,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.09,
54277,TJP2,deepseek-coder,Benign,Benign,1.0,BA1,"Richards et al., Standards and guidelines for the interpretation of sequence variants, Genetics in Medicine, 2015",,2.07,
742994,TUBGCP6,kimi-k2.6,Benign,Benign,0.95,BA1;BS1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,6.15,
54277,TJP2,kimi-k2.6,Benign,Benign,0.95,BA1,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015",,4.7,
249748,PSEN2,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015;Karczewski KJ, et al., Nature, 2020",,10.01,
1580096,IFT88,kimi-k2.6,Benign,Uncertain significance,0.3,BS1,"Richards S, Aziz N, Bale S, et al. Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-424.",,8.12,
2040246,CAMTA1,deepseek-coder,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.37,
2040246,CAMTA1,deepseek-chat,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.46,
21628,ABCB11,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2;PVS1_Strong,"Strautnieks SS, et al. Gastroenterology, 2008;van Mil SW, et al. Hepatology, 2004",,2.93,
21628,ABCB11,deepseek-coder,Pathogenic,Pathogenic,0.99,PVS1;PM2;PVS1_Strong,"Strautnieks SS, et al. Gastroenterology, 2008;van Mil SW, et al. Hepatology, 2004",,2.87,
1631466,MRPS34,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BS1,"Richards et al., Genet Med, 2015",,2.53,
2040246,CAMTA1,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,6.95,
1631466,MRPS34,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1,"Richards et al., Genet Med, 2015",,2.68,
3068484,NDUFB10,deepseek-chat,Benign,Benign,0.95,BA1;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.54,
1631466,MRPS34,kimi-k2.6,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-24",,5.64,
3068484,NDUFB10,deepseek-coder,Benign,Likely benign,0.9,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.32,
3068484,NDUFB10,kimi-k2.6,Benign,Benign,0.85,BA1;BS1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,5.46,
460150,JMJD1C,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.58,
460150,JMJD1C,deepseek-coder,Benign,Uncertain significance,0.7,PM2;BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.79,
101787,DNAAF2,deepseek-chat,Benign,Benign,0.99,BA1;BS1;PM2,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.26,
101787,DNAAF2,deepseek-coder,Benign,Benign,0.99,BA1;BS1;PM2,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.11,
21628,ABCB11,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.;Strautnieks SS, et al., A gene encoding a liver-specific ABC transporter is mutated in progressive familial intrahepatic cholestasis. Nat Genet. 1998;20(3):233-8.",,12.24,
460150,JMJD1C,kimi-k2.6,Benign,Likely benign,0.75,BS1;BS2,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,6.95,
250601,COL4A4,deepseek-chat,Benign,Uncertain significance,0.7,PM2;BS1;BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.68,
250601,COL4A4,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1;BP4,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.49,
265436,LRP5,deepseek-chat,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.15,
265436,LRP5,deepseek-coder,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.16,
250601,COL4A4,kimi-k2.6,Benign,Likely benign,0.75,BS1;PM2,"Richards S, et al., Genet Med, 2015;ACMG/AMP Sequence Variant Interpretation Guidelines, 2015",,6.26,
705698,DSCAM,deepseek-chat,Benign,Benign,0.95,BA1;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.21,
705698,DSCAM,deepseek-coder,Benign,Benign,0.95,BA1;BP7,"Richards et al., Genet Med, 2015",,2.13,
101787,DNAAF2,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;Exome Aggregation Consortium, Lek et al., Nature, 2016;1000 Genomes Project Consortium, Nature, 2015",,10.72,
265436,LRP5,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015, PMID:25741868",,6.82,
283717,MERTK,deepseek-chat,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.32,
705698,DSCAM,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015; ACMG/AMP Sequence Variant Interpretation Guidelines",,5.9,
283717,MERTK,deepseek-coder,Benign,Benign,0.99,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015.",,2.04,
276709,MTHFR,deepseek-chat,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.17,
276709,MTHFR,deepseek-coder,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.36,
283717,MERTK,kimi-k2.6,Benign,Benign,0.99,BA1;BS1,"Richards S, et al., Genet Med, 2015;Oza V, et al., Genet Med, 2018",,5.56,
227651,MRTFA,deepseek-chat,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015.",,1.88,
227651,MRTFA,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.83,
402616,RBFOX3,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.43,
402616,RBFOX3,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.8,
227651,MRTFA,kimi-k2.6,Benign,Benign,0.95,BA1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,4.92,
276709,MTHFR,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015, PMID: 25741868;1000 Genomes Project Consortium, Nature, 2015;NHLBI GO Exome Sequencing Project, 2012",,6.48,
195195,AGXT,deepseek-chat,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.26,
195195,AGXT,deepseek-coder,Benign,Benign,0.95,BA1;BP4;BP7,"Richards et al., Genet Med, 2015",,2.3,
141206,ADGRV1,deepseek-chat,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.31,
195195,AGXT,kimi-k2.6,Benign,Benign,0.95,BA1,"Richards S, et al., Genet Med, 2015;Exome Sequencing Project (ESP);Exome Aggregation Consortium (ExAC);1000 Genomes Project Consortium, Nature, 2015",,3.92,
402616,RBFOX3,kimi-k2.6,Benign,Likely benign,0.75,BS1;BP4;BP7,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology., Genet Med, 2015",,6.65,
141206,ADGRV1,deepseek-coder,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.41,
1925577,COL7A1,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;PP3,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.32,
1925577,COL7A1,deepseek-coder,Pathogenic,Uncertain significance,0.6,PM2;PP3,"Has C, et al. J Med Genet, 2020;Dang N, et al. Hum Mutat, 2007",,2.8,
134908,LAMC3,deepseek-chat,Benign,Benign,0.99,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015.",,1.98,
134908,LAMC3,deepseek-coder,Benign,Benign,0.99,BA1,"Richards S, et al. Genet Med. 2015;17(5):405-424",,1.67,
1155059,IL7R,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1,"Richards et al., Genet Med, 2015",,1.75,
1155059,IL7R,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BS1;BP4,"Richards et al., Standards and guidelines for the interpretation of sequence variants, Genet Med, 2015",,2.76,
1925577,COL7A1,kimi-k2.6,Pathogenic,Pathogenic,0.85,PVS1_Strong;PM2,"Santos et al., J Invest Dermatol, 2000; Dang et al., Hum Mutat, 1998; Richards et al., Genet Med, 2015",,6.72,
141206,ADGRV1,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015; ACMG/AMP Sequence Variant Interpretation Guidelines",,9.07,
134908,LAMC3,kimi-k2.6,Benign,Benign,0.95,BA1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,6.16,
1155059,IL7R,kimi-k2.6,Benign,Uncertain significance,0.3,PM2,"Richards S, et al., Genet Med, 2015",,4.61,
1291638,CBL,deepseek-chat,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.58,
1291638,CBL,deepseek-coder,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.74,
317218,DBH,deepseek-chat,Benign,Benign,0.99,BA1;BS1;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.13,
317218,DBH,deepseek-coder,Benign,Benign,0.99,BA1;BS1;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.56,
1154927,PCDH12,deepseek-chat,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.13,
1154927,PCDH12,deepseek-coder,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.09,
317218,DBH,kimi-k2.6,Benign,Benign,0.95,BA1,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015",,5.13,
1291638,CBL,kimi-k2.6,Benign,Benign,0.85,BS1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,7.22,
322164,TRPM1,deepseek-chat,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.32,
322164,TRPM1,deepseek-coder,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.48,
1154927,PCDH12,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015;Exome Sequencing Project;Exome Aggregation Consortium;1000 Genomes Project",,5.38,
55423,ADGRV1,deepseek-chat,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.0,
55423,ADGRV1,deepseek-coder,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.07,
322164,TRPM1,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015; ACMG/AMP Sequence Variant Interpretation Guidelines",,6.04,
1709644,ASH1L,deepseek-chat,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.69,
1709644,ASH1L,deepseek-coder,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.5,
55423,ADGRV1,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015 (ACMG Standards and Guidelines);Exome Sequencing Project (ESP);Exome Aggregation Consortium (ExAC);1000 Genomes Project Consortium, Nature, 2015",,6.95,
343699,ATP1A3,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.64,
1709644,ASH1L,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, Genet Med, 2015; Oza V, Hum Mutat, 2018",,6.23,
343699,ATP1A3,deepseek-coder,Benign,Uncertain significance,0.7,PM2;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,3.26,
269763,CACNA1A,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.05,
269763,CACNA1A,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.55,
269763,CACNA1A,kimi-k2.6,Benign,Uncertain significance,0.4,BS1;PP3,"Richards S, et al., Genet Med, 2015; Oza AM, et al., Genet Med, 2018",,4.85,
1155072,C9,deepseek-chat,Benign,Likely benign,0.85,BS1;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.28,
1155072,C9,deepseek-coder,Benign,Likely benign,0.85,BS1;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.41,
343699,ATP1A3,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Genet Med, 2015 (ACMG guidelines);Tavtigian SV, et al., Hum Mutat, 2020 (Bayesian ACMG framework);Karczewski KJ, et al., Nature, 2020 (gnomAD)",,8.13,
1631944,NUP160,deepseek-chat,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015.",,2.2,
1631944,NUP160,deepseek-coder,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015.",,2.24,
53691,MYH6,deepseek-chat,Benign,Likely benign,0.9,BA1;BS1;PM2,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.32,
53691,MYH6,deepseek-coder,Benign,Likely benign,0.9,BA1;BS1;PM2,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.16,
1155072,C9,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;Sherry ST, Ward MH, Kholodov M, et al. dbSNP: the NCBI database of genetic variation. Nucleic Acids Res. 2001",,6.38,
1540250,DHX32,deepseek-chat,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.27,
1540250,DHX32,deepseek-coder,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015.",,2.12,
1540250,DHX32,kimi-k2.6,Benign,Benign,0.85,BS1;BP4,"Richards S, et al., Genet Med, 2015, PMID: 25741868",,5.45,
136040,TMEM237,deepseek-coder,Benign,Benign,0.95,BA1;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.25,
136040,TMEM237,kimi-k2.6,Benign,Benign,0.95,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-24.",,4.34,
53691,MYH6,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,8.06,
136040,TMEM237,deepseek-chat,Benign,Benign,0.95,BA1;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.86,
1631944,NUP160,kimi-k2.6,Benign,Benign,0.99,BA1;BS1,"Richards S, et al., Genet Med, 2015;Oza VH, et al., Genet Med, 2018",,9.55,
288245,HGD,deepseek-chat,Benign,Benign,0.95,BA1;BP4;BP7,"Richards et al., Genet Med, 2015",,2.09,
288245,HGD,deepseek-coder,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.31,
1984392,SKIC2,deepseek-coder,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Richards S, et al. Genet Med, 2015",,2.01,
1984392,SKIC2,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strong,"Hartley et al., Am J Hum Genet, 2010;Fabre et al., J Med Genet, 2012",,3.4,
